url,price,size,location,bedrooms,bathrooms,parking,scraped_at
https://www.property24.com/for-sale/esterville/paarl/western-cape/16386/115863251,R 2 650 000,284 m²,Esterville,3,2,2,2025-05-14T14:20:42.328381
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115680173,R 2 650 000,560 m²,Paarl North,N/A,N/A,N/A,2025-05-14T14:20:42.378503
https://www.property24.com/for-sale/pearl-valley-golf-and-country-estate/paarl/western-cape/11772/115766931,R 21 900 000,635 m²,Pearl Valley Golf & Country Estate,4,4,6,2025-05-14T14:20:42.490093
https://www.property24.com/for-sale/klein-nederburg/paarl/western-cape/8604/115863884,R 11 000 000,13.5 ha,Klein Nederburg,N/A,N/A,N/A,2025-05-14T14:20:42.526941
https://www.property24.com/for-sale/groenheuwel/paarl/western-cape/8600/115895181,R 870 000,200 m²,Groenheuwel,2,1,2,2025-05-14T14:20:46.509846
https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/115821262,R 6 800 000,1 007 m²,Paarl Central,4,2,5,2025-05-14T14:20:46.620146
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115483469,R 2 300 000,604 m²,Paarl North,3,1,2,2025-05-14T14:20:46.694529
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115658563,,,,,,,2025-05-14T14:20:46.811542
https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/115560536,R 21 500 000,566 m²,Paarl South,N/A,N/A,N/A,2025-05-14T14:20:46.844663
https://www.property24.com/for-sale/honeydew-country-estate/paarl/western-cape/33199/115836544,R 3 299 000,188 m²,Honeydew Country Estate,3,2,4,2025-05-14T14:20:46.959901
https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/112398614,R 550 000,99 m²,Paarl Central,N/A,N/A,1,2025-05-14T14:20:47.010717
https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/115858185,POA,2 374 m²,Paarl Central,N/A,N/A,N/A,2025-05-14T14:20:47.059858
https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/115809342,R 3 580 000,576 m²,Lemoenkloof,3,2,4,2025-05-14T14:20:47.144177
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115817262,R 3 295 000,385 m²,Paarl North,3,2,4,2025-05-14T14:20:47.209199
https://www.property24.com/for-sale/charleston-hill/paarl/western-cape/8593/115850937,R 770 000,48 m²,Charleston Hill,2,1,1,2025-05-14T14:20:47.293050
https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/115716425,R 1 070 000,53 m²,Paarl South,2,1,1,2025-05-14T14:20:47.377802
https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/115818454,R 4 295 000,613 m²,Paarl Central,4,2,4,2025-05-14T14:20:47.460653
https://www.property24.com/for-sale/de-oude-renbaan/paarl/western-cape/8626/115533479,R 3 695 000,317 m²,De Oude Renbaan,3,2,2,2025-05-14T14:20:47.543196
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115591840,R 4 550 000,600 m²,Klein Parys,3,2,4,2025-05-14T14:20:47.681582
https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/115539874,R 2 750 000,236 m²,Paarl Central,N/A,N/A,N/A,2025-05-14T14:20:47.730913
https://www.property24.com/for-sale/de-zoete-inval/paarl/western-cape/8596/115739078,R 2 750 000,625 m²,De Zoete Inval,3,2,6,2025-05-14T14:20:47.827339
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115719498,R 19 950 000,1 002 m²,Val de Vie Estate,5,5.5,6,2025-05-14T14:20:47.931159
https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/115521364,R 2 500 000,67 m²,Paarl South,N/A,N/A,N/A,2025-05-14T14:20:47.977759
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115895837,R 2 995 000,279 m²,Paarl North,4,2.5,4,2025-05-14T14:20:48.077864
https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/115853882,R 2 195 000,61 m²,Paarl Central,2,1,1,2025-05-14T14:20:48.176558
https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/111454283,R 2 675 000,368 m²,Lemoenkloof,3,1.5,4,2025-05-14T14:20:53.893467
https://www.property24.com/for-sale/pearl-valley-golf-and-country-estate/paarl/western-cape/11772/115815451,R 2 690 000,69 m²,Pearl Valley Golf & Country Estate,1,1,1,2025-05-14T14:20:54.043798
https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/115945015,R 695 000,N/A,Paarl Central,1,1,1,2025-05-14T14:20:54.125790
https://www.property24.com/for-sale/groenheuwel/paarl/western-cape/8600/115913872,R 1 129 750,55 m²,Groenheuwel,2,1,2,2025-05-14T14:20:54.208951
